Guild,FD1,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD19,FD2,FD20,FD21,FD22,FD23,FD24,FD25,FD26,FD27,FD28,FD29,FD3,FD30,FD31,FD32,FD33,FD34,FD35,FD36,FD38,FD39,FD4,FD40,FD41,FD42,FD43,FD44,FD45,FD46,FD47,FD48,FD5,FD6,FD7,FD8,FD9
Animal Pathogen,0,0,0,0.001562944,0,0.003694231,0.00440466,0.002699631,0.011793123,0.006678034,0,0,0,0,0,0,0,0,0.000568343,0,0,0.000426257,0,0,0.000426257,0.000426257,0.003267974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002699631,0,0,0,0,0,0
Arbuscular Mycorrhizal,0.000426257,0.009377664,0.002699631,0.008809321,0.003694231,0.015487354,0.009377664,0.017050298,0.021881216,0.01292981,0.003694231,0.001136687,0,0.008098892,0.014634839,0.00440466,0.008098892,0.003978403,0.00511509,0.00610969,0.000710429,0.006535948,0.000994601,0.012645638,0.003836317,0.001989201,0.002983802,0,0.001278772,0.008383063,0.008525149,0.012219381,0.002273373,0.012219381,0.012787724,0.005541347,0.042909918,0.023728332,0.009946007,0.012361466,0.025433362,0.010940608,0,0.015203183,0.006962205,0.008098892,0.001847116
Dung Saprotroph,0,0,0,0.001278772,0,0.000710429,0,0,0,0.001136687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000994601,0.000568343,0,0,0,0.000142086,0,0,0,0,0,0
Ectomycorrhizal,0.593350384,0.203751066,0.06322819,0.234583689,0.209576584,0.018471157,0.035805627,0.076726343,0.041346974,0.017760727,0.474566638,0.552429668,0.301079852,0.461352657,0.283745382,0.038931515,0.227337312,0.598749645,0.495453254,0.103580563,0.643080421,0.356493322,0.49829497,0.276641091,0.54589372,0.658851947,0.461352657,0.546604149,0.616510372,0.400966184,0.014776925,0.074879227,0.411906792,0.195936346,0.304916169,0.383773799,0.002415459,0.003836317,0.000994601,0.006678034,0.001420858,0.114947428,0.684285308,0.108411481,0.419863598,0.363881785,0.466325661
Endophyte,0.002273373,0.004120489,0.000568343,0,0,0,0,0,0.003125888,0,0,0.002415459,0.001420858,0.003267974,0,0.000710429,0.00170503,0,0.001989201,0,0.002415459,0.002415459,0,0.001562944,0.023870418,0,0.004973004,0.028132992,0.016481955,0.020886616,0,0.001989201,0.002699631,0.00440466,0.009946007,0.002273373,0,0,0,0.000142086,0.003978403,0,0.001420858,0,0.002699631,0.010514351,0.003836317
Ericoid Mycorrhizal,0,0.000852515,0,0,0.000710429,0.000426257,0.001847116,0,0,0.000142086,0.001562944,0,0.002415459,0.000142086,0.002131287,0.000426257,0,0.000426257,0,0,0,0.000710429,0,0,0.000994601,0,0,0.000284172,0,0,0,0,0.001989201,0.001847116,0.005257175,0,0.006251776,0.000710429,0,0.000284172,0,0,0,0.000426257,0,0.002841716,0.002131287
Fungal Parasite,0,0,0,0,0,0,0,0,0,0,0,0.000710429,0,0,0.000568343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lichenized,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284172,0,0,0,0,0,0,0,0,0,0.000426257,0,0,0,0,0,0,0,0,0,0,0.000142086,0,0,0,0,0,0,0,0,0,0,0.000994601,0
Low Confidence,0.080278488,0.24609264,0.10130719,0.219096334,0.50610969,0.204745666,0.098749645,0.20190395,0.136118215,0.093634555,0.264279625,0.053140097,0.188263711,0.215544189,0.177749361,0.138959932,0.160414891,0.112816141,0.19579426,0.160272805,0.240551293,0.148479682,0.169934641,0.334754192,0.250355215,0.123188406,0.338448423,0.272236431,0.154163115,0.320829781,0.214691674,0.108837738,0.244529696,0.141659562,0.256891162,0.443023586,0.107701051,0.115657857,0.063512361,0.087809037,0.181443592,0.077436772,0.091077011,0.120346689,0.243819267,0.150610969,0.116510372
Multiple Guilds,0.175475987,0.087809037,0.625888036,0.120630861,0.108837738,0.252912759,0.101591361,0.059676044,0.151037226,0.165814152,0.055555556,0.269820972,0.40039784,0.120772947,0.099744246,0.664393294,0.112958227,0.055555556,0.201335607,0.022165388,0.015345269,0.223500995,0.066354078,0.136118215,0.018755328,0.016339869,0.013782325,0.05200341,0.020034101,0.050866724,0.148053424,0.056265985,0.100738846,0.048877522,0.073316283,0.02855925,0.44458653,0.197925547,0.640238704,0.418868997,0.03296391,0.152458085,0.070758738,0.178601876,0.073600455,0.089798238,0.304631998
Orchid Mycorrhizal,0.004120489,0.002841716,0,0.00341006,0,0.000852515,0.012361466,0.007672634,0.000710429,0.004546746,0.001420858,0.001278772,0.001420858,0.001989201,0.007246377,0.003836317,0.000710429,0.001136687,0,0.003694231,0,0.001989201,0.003552145,0.000426257,0,0,0,0.000852515,0,0,0.000710429,0.002699631,0.001278772,0.004120489,0.004262575,0,0.006393862,0.046888321,0.002983802,0.001847116,0.000426257,0.006820119,0.009661836,0.004830918,0.002557545,0.007104291,0.000284172
Plant Pathogen,0.000710429,0.000142086,0.000284172,0.000142086,0.001989201,0,0,0,0,0.000710429,0.000994601,0.000568343,0.000852515,0,0,0,0.000568343,0.000568343,0,0,0.000284172,0,0.000426257,0.000852515,0.000284172,0,0,0.000142086,0.000142086,0,0,0.000284172,0.003694231,0.000142086,0.000426257,0,0.000426257,0,0,0,0.000852515,0.000426257,0.000710429,0.000284172,0.000426257,0.002273373,0
Soil Saprotroph,0.007530548,0.066780335,0.029553851,0.092355783,0.003125888,0.026570048,0.127877238,0.05370844,0.03978403,0.131287298,0.015487354,0.003125888,0.002699631,0.023017903,0.053282182,0.008383063,0.052713839,0.098039216,0.006393862,0.005399261,0.008525149,0.014634839,0.075021313,0.013782325,0.005541347,0.004262575,0.019749929,0.001136687,0.005967604,0.022165388,0.215402103,0.056834328,0.013498153,0.180306905,0.037510656,0.036942313,0.053850526,0.086104007,0.033248082,0.03466894,0.216254618,0.024012504,0.010940608,0.044472862,0.038647343,0.114805342,0.021881216
Unclassified,0.075305485,0.14549588,0.090934925,0.223216823,0.09008241,0.224495595,0.376243251,0.241403808,0.52244956,0.42725206,0.150042626,0.033105996,0.044046604,0.132423984,0.279340722,0.10741688,0.334327934,0.096050014,0.050866724,0.033674339,0.038931515,0.108695652,0.042767832,0.176186417,0.093492469,0.175475987,0.128587667,0.075163399,0.153736857,0.132139812,0.064222791,0.63256607,0.097470872,0.243393009,0.284739983,0.082125604,0.288007957,0.39769821,0.204177323,0.413611822,0.512361466,0.586246093,0.046604149,0.346121057,0.125319693,0.147911338,0.046035806
Undefined Saprotroph,0.060528559,0.232310315,0.085109406,0.094629156,0.075873828,0.251633987,0.231741972,0.33788008,0.069906223,0.137112816,0.032395567,0.08226769,0.057402671,0.032395567,0.081557261,0.032537653,0.101165104,0.032111395,0.041631145,0.665103723,0.050156294,0.1352657,0.141659562,0.046604149,0.056550156,0.018755328,0.025717533,0.02344416,0.031685138,0.043762433,0.333617505,0.052855925,0.119778346,0.166808752,0.009661836,0.016055698,0.046319977,0.127166809,0.044330776,0.02344416,0.021597045,0.026712134,0.084541063,0.180306905,0.085961921,0.100454675,0.036089798
Wood Saprotroph,0,0.000426257,0.000426257,0.000284172,0,0,0,0.001278772,0.001847116,0.000994601,0,0,0,0.000710429,0,0,0,0.000568343,0.000852515,0,0,0.000852515,0.000994601,0,0,0.000710429,0.001136687,0,0,0,0,0.000142086,0.000142086,0.000284172,0.000142086,0.000710429,0.000568343,0.000284172,0.000568343,0.000284172,0.000426257,0,0,0.000994601,0.000142086,0.000710429,0.000426257
